outlet_id,brand,city,outlet_type,estimated_captured_demand,n_contested_neighbors,total_demand_at_risk_pct,most_threatening_neighbor,most_threatening_neighbor_risk_pct
MRG-025,Marugame Udon,Bandung,destination_hub,26105.1,4,207.2,MRG-024,80.7
MRG-024,Marugame Udon,Bandung,destination_hub,37624.9,4,203.1,MRG-026,78.6
MRG-040,Marugame Udon,Yogyakarta,destination_hub,42098.7,3,190.5,MRG-041,95.7
MRG-041,Marugame Udon,Yogyakarta,destination_hub,32629.6,3,190.2,MRG-040,93.5
MRG-030,Marugame Udon,Surabaya,destination_hub,36859.6,6,184.7,MRG-032,91.0
MRG-032,Marugame Udon,Surabaya,destination_hub,46069.6,6,180.5,MRG-030,89.4
MRG-022,Marugame Udon,Bandung,destination_hub,28205.7,4,178.6,MRG-025,72.7
MRG-042,Marugame Udon,Yogyakarta,destination_hub,61623.5,3,172.6,MRG-041,87.6
MRG-026,Marugame Udon,Bandung,destination_hub,29159.7,3,165.0,MRG-024,85.5
HVT-017,The Harvest,Bandung,neighborhood,46228.3,3,158.9,HVT-020,66.1
HVT-020,The Harvest,Bandung,neighborhood,23520.8,3,157.4,HVT-017,77.1
MRG-033,Marugame Udon,Surabaya,destination_hub,39032.8,3,139.6,MRG-032,70.7
HVT-018,The Harvest,Bandung,neighborhood,32256.2,3,138.9,HVT-020,71.4
MRG-037,Marugame Udon,Semarang,destination_hub,93284.2,2,104.7,MRG-036,100.0
MRG-039,Marugame Udon,Yogyakarta,neighborhood,4228.3,3,104.4,MRG-040,34.8
MRG-036,Marugame Udon,Semarang,transit_adjacent,35487.4,2,104.3,MRG-037,100.0
HVT-022,The Harvest,Surabaya,neighborhood,58878.8,2,102.4,HVT-021,88.6
HVT-021,The Harvest,Surabaya,neighborhood,53958.8,2,95.9,HVT-022,63.5
HVT-027,The Harvest,Malang,neighborhood,44605.7,1,95.7,HVT-028,95.7
MRG-043,Marugame Udon,Malang,neighborhood,43685.3,1,92.0,MRG-044,92.0
MRG-027,Marugame Udon,Surabaya,neighborhood,6160.2,2,90.2,MRG-032,78.6
HVT-019,The Harvest,Bandung,neighborhood,32438.9,3,83.9,HVT-017,65.0
HVT-028,The Harvest,Malang,neighborhood,100904.1,1,82.7,HVT-027,82.7
HVT-025,The Harvest,Semarang,neighborhood,54237.3,1,78.8,HVT-024,78.8
MRG-044,Marugame Udon,Malang,neighborhood,101824.5,1,75.5,MRG-043,75.5
HVT-024,The Harvest,Semarang,neighborhood,98208.2,1,72.1,HVT-025,72.1
HVT-023,The Harvest,Surabaya,neighborhood,45270.7,2,66.2,HVT-021,46.2
MRG-023,Marugame Udon,Bandung,transit_adjacent,11766.8,3,60.9,MRG-025,39.8
HVT-002,The Harvest,Jakarta,neighborhood,54257.7,4,50.3,HVT-001,29.3
HVT-008,The Harvest,Jakarta,neighborhood,17999.2,2,48.4,HVT-001,24.2
HVT-001,The Harvest,Jakarta,neighborhood,36772.4,5,46.4,HVT-002,21.1
HVT-007,The Harvest,Jakarta,neighborhood,25348.2,4,42.4,HVT-002,27.6
MRG-003,Marugame Udon,Jakarta,transit_adjacent,17620.0,3,42.1,MRG-004,29.4
HVT-012,The Harvest,Jakarta,neighborhood,16015.3,4,41.6,HVT-013,26.5
MRG-010,Marugame Udon,Jakarta,destination_hub,40788.3,2,37.7,MRG-009,30.7
MRG-009,Marugame Udon,Jakarta,destination_hub,53182.2,7,37.0,MRG-010,20.3
HVT-006,The Harvest,Jakarta,neighborhood,33637.3,4,36.6,HVT-005,14.9
HVT-005,The Harvest,Jakarta,neighborhood,28127.0,4,35.6,HVT-006,21.1
MRG-031,Marugame Udon,Surabaya,transit_adjacent,10466.0,3,35.5,MRG-030,14.5
HVT-015,The Harvest,Jakarta,neighborhood,7045.5,2,34.9,HVT-006,23.5
HVT-004,The Harvest,Jakarta,neighborhood,36993.4,4,34.8,HVT-006,12.3
HVT-013,The Harvest,Jakarta,neighborhood,18480.6,3,30.3,HVT-012,15.5
MRG-006,Marugame Udon,Jakarta,transit_adjacent,18392.1,3,28.0,MRG-010,13.7
MRG-004,Marugame Udon,Jakarta,destination_hub,36939.6,3,24.7,MRG-003,15.7
HVT-003,The Harvest,Jakarta,neighborhood,28660.2,3,24.5,HVT-001,9.8
MRG-008,Marugame Udon,Jakarta,transit_adjacent,10983.2,2,24.0,MRG-006,14.2
HVT-016,The Harvest,Jakarta,neighborhood,29299.3,3,23.2,HVT-009,13.8
MRG-018,Marugame Udon,Jakarta,destination_hub,42982.3,3,23.2,MRG-013,17.8
HVT-009,The Harvest,Jakarta,neighborhood,20989.1,4,19.6,HVT-016,14.8
MRG-034,Marugame Udon,Surabaya,transit_adjacent,11217.3,2,18.4,MRG-030,13.6
MRG-038,Marugame Udon,Semarang,transit_adjacent,18920.2,2,15.8,MRG-036,7.9
MRG-013,Marugame Udon,Jakarta,destination_hub,35444.4,1,15.3,MRG-018,15.3
HVT-011,The Harvest,Jakarta,neighborhood,6082.1,2,14.6,HVT-009,7.3
MRG-001,Marugame Udon,Jakarta,transit_adjacent,9160.9,2,9.0,MRG-003,4.5
MRG-002,Marugame Udon,Jakarta,transit_adjacent,18744.2,1,8.7,MRG-018,8.7
MRG-029,Marugame Udon,Surabaya,transit_adjacent,7094.9,2,7.4,MRG-030,3.7
MRG-005,Marugame Udon,Jakarta,neighborhood,8631.4,1,2.3,MRG-009,2.3
