brand,city,outlet_a,outlet_b,contested_cells_pct
Marugame Udon,Surabaya,MRG-004,MRG-017,75.0
Marugame Udon,Surabaya,MRG-004,MRG-016,66.4
The Harvest,Bandung,HVT-023,HVT-039,65.7
Marugame Udon,Surabaya,MRG-016,MRG-017,61.4
The Harvest,Bandung,HVT-039,HVT-041,48.6
The Harvest,Bandung,HVT-023,HVT-041,44.3
The Harvest,Surabaya,HVT-038,HVT-042,42.9
The Harvest,Surabaya,HVT-031,HVT-034,35.0
The Harvest,Bandung,HVT-037,HVT-039,34.3
The Harvest,Surabaya,HVT-031,HVT-038,27.1
The Harvest,Surabaya,HVT-034,HVT-038,23.6
The Harvest,Bandung,HVT-023,HVT-037,22.9
The Harvest,Surabaya,HVT-031,HVT-042,20.0
The Harvest,Jakarta,HVT-024,HVT-025,19.3
Marugame Udon,Bandung,MRG-008,MRG-014,16.4
Marugame Udon,Bandung,MRG-001,MRG-018,15.7
The Harvest,Surabaya,HVT-034,HVT-042,15.0
Marugame Udon,Jakarta,MRG-005,MRG-006,13.6
The Harvest,Bandung,HVT-037,HVT-041,13.6
Marugame Udon,Jakarta,MRG-007,MRG-012,12.9
Marugame Udon,Bandung,MRG-008,MRG-018,12.9
Marugame Udon,Bandung,MRG-008,MRG-010,11.4
Marugame Udon,Jakarta,MRG-011,MRG-015,10.0
Marugame Udon,Jakarta,MRG-003,MRG-005,10.0
Marugame Udon,Jakarta,MRG-005,MRG-012,10.0
Marugame Udon,Bandung,MRG-009,MRG-018,9.3
The Harvest,Jakarta,HVT-027,HVT-040,9.3
Marugame Udon,Jakarta,MRG-005,MRG-007,9.3
The Harvest,Jakarta,HVT-021,HVT-025,8.6
Marugame Udon,Bandung,MRG-001,MRG-009,8.6
Marugame Udon,Bandung,MRG-014,MRG-018,7.9
The Harvest,Jakarta,HVT-020,HVT-029,7.9
The Harvest,Jakarta,HVT-021,HVT-024,6.4
The Harvest,Jakarta,HVT-027,HVT-033,5.7
Marugame Udon,Jakarta,MRG-002,MRG-011,5.7
The Harvest,Jakarta,HVT-025,HVT-030,5.7
Marugame Udon,Jakarta,MRG-003,MRG-006,5.7
The Harvest,Jakarta,HVT-019,HVT-025,5.0
Marugame Udon,Bandung,MRG-001,MRG-008,4.3
The Harvest,Jakarta,HVT-025,HVT-027,4.3
Marugame Udon,Bandung,MRG-001,MRG-010,4.3
Marugame Udon,Jakarta,MRG-002,MRG-012,3.6
The Harvest,Jakarta,HVT-033,HVT-040,3.6
Marugame Udon,Jakarta,MRG-003,MRG-015,3.6
Marugame Udon,Jakarta,MRG-011,MRG-012,2.9
Marugame Udon,Bandung,MRG-010,MRG-014,2.9
Marugame Udon,Jakarta,MRG-002,MRG-013,2.9
Marugame Udon,Jakarta,MRG-002,MRG-015,2.9
Marugame Udon,Jakarta,MRG-012,MRG-013,2.9
The Harvest,Jakarta,HVT-028,HVT-032,2.1
The Harvest,Jakarta,HVT-029,HVT-036,2.1
The Harvest,Jakarta,HVT-032,HVT-035,2.1
The Harvest,Jakarta,HVT-022,HVT-027,2.1
The Harvest,Jakarta,HVT-019,HVT-032,2.1
The Harvest,Jakarta,HVT-020,HVT-036,2.1
The Harvest,Jakarta,HVT-019,HVT-030,1.4
Marugame Udon,Bandung,MRG-008,MRG-009,1.4
Marugame Udon,Bandung,MRG-010,MRG-018,1.4
The Harvest,Jakarta,HVT-020,HVT-022,1.4
Marugame Udon,Jakarta,MRG-006,MRG-012,1.4
The Harvest,Jakarta,HVT-021,HVT-027,1.4
The Harvest,Jakarta,HVT-025,HVT-040,1.4
The Harvest,Jakarta,HVT-026,HVT-028,1.4
The Harvest,Jakarta,HVT-026,HVT-030,1.4
Marugame Udon,Bandung,MRG-009,MRG-010,1.4
Marugame Udon,Jakarta,MRG-003,MRG-011,0.7
Marugame Udon,Jakarta,MRG-003,MRG-012,0.7
The Harvest,Jakarta,HVT-019,HVT-027,0.7
The Harvest,Jakarta,HVT-028,HVT-035,0.7
Marugame Udon,Jakarta,MRG-006,MRG-007,0.7
The Harvest,Jakarta,HVT-019,HVT-024,0.7
The Harvest,Jakarta,HVT-030,HVT-032,0.7
