poi_id,poi_type,name,city,latitude,longitude
POI-0001,competitor_bakery_cake,Union Bakery 4,Jakarta,-6.233347,106.749097
POI-0002,competitor_bakery_cake,Sarinah Cake 11,Yogyakarta,-7.795432,110.323231
POI-0003,school_campus,Universitas E 10,Jakarta,-6.254464,106.69164
POI-0004,school_campus,Sekolah D 19,Jakarta,-6.238883,106.928038
POI-0005,competitor_noodle_asian,Mie Gacoan 2,Surabaya,-7.169383,112.696752
POI-0006,office_building,Corporate Park C 8,Jakarta,-6.096359,106.802388
POI-0007,transit_station,MRT Stasiun F 19,Jakarta,-6.192085,106.892269
POI-0008,competitor_bakery_cake,Holland Bakery 3,Bandung,-6.996672,107.627699
POI-0009,competitor_noodle_asian,Mie Gacoan 7,Bandung,-6.970472,107.590441
POI-0010,competitor_noodle_asian,Bakmi GM 13,Jakarta,-6.217936,106.719249
POI-0011,mall,Mall X 10,Jakarta,-6.099333,106.742678
POI-0012,school_campus,Sekolah D 7,Jakarta,-6.178617,106.760302
POI-0013,residential_complex,Apartemen J 10,Surabaya,-7.26085,112.824657
POI-0014,transit_station,KRL Stasiun G 5,Jakarta,-6.29172,106.957016
POI-0015,mall,Plaza Y 17,Semarang,-6.94399,110.459441
POI-0016,residential_complex,Apartemen J 3,Malang,-7.970623,112.648461
POI-0017,competitor_bakery_cake,Sarinah Cake 19,Jakarta,-6.080581,106.826558
POI-0018,office_building,Tower B 18,Surabaya,-7.220686,112.767881
POI-0019,school_campus,Universitas E 16,Jakarta,-6.069485,106.798119
POI-0020,competitor_noodle_asian,Hakata Ikkousha 9,Bandung,-6.907206,107.680004
POI-0021,competitor_noodle_asian,Bakmi GM 14,Jakarta,-6.306991,106.760229
POI-0022,competitor_noodle_asian,Marutama Ramen 9,Jakarta,-6.330688,106.750231
POI-0023,mall,Trade Center Z 16,Jakarta,-6.301804,106.714932
POI-0024,office_building,Corporate Park C 4,Bandung,-6.977969,107.560439
POI-0025,mall,Mall X 19,Jakarta,-6.193526,106.984403
POI-0026,competitor_bakery_cake,Union Bakery 6,Jakarta,-6.272267,106.91216
POI-0027,mall,Mall X 10,Jakarta,-6.282404,106.78135
POI-0028,competitor_bakery_cake,BreadTalk 4,Jakarta,-6.148631,106.961089
POI-0029,mall,Trade Center Z 10,Bandung,-6.884436,107.602755
POI-0030,school_campus,Universitas E 5,Jakarta,-6.105795,106.757081
POI-0031,office_building,Tower B 11,Jakarta,-6.125235,106.763614
POI-0032,school_campus,Sekolah D 7,Yogyakarta,-7.76709,110.375388
POI-0033,school_campus,Sekolah D 14,Semarang,-7.049498,110.3977
POI-0034,competitor_noodle_asian,Mie Gacoan 12,Jakarta,-6.249494,106.864501
POI-0035,school_campus,Universitas E 6,Jakarta,-6.297909,106.885759
POI-0036,competitor_bakery_cake,BreadTalk 5,Surabaya,-7.274345,112.759395
POI-0037,competitor_noodle_asian,Mie Gacoan 4,Surabaya,-7.199456,112.767186
POI-0038,competitor_noodle_asian,Hakata Ikkousha 4,Jakarta,-6.351378,106.852214
POI-0039,office_building,Menara A 9,Jakarta,-6.281584,106.735168
POI-0040,competitor_noodle_asian,Marutama Ramen 20,Jakarta,-6.203056,106.935002
POI-0041,mall,Mall X 3,Jakarta,-6.067604,106.907293
POI-0042,school_campus,Universitas E 12,Jakarta,-6.070787,106.821482
POI-0043,competitor_bakery_cake,Holland Bakery 4,Jakarta,-6.322499,106.830095
POI-0044,transit_station,MRT Stasiun F 10,Semarang,-7.005965,110.350102
POI-0045,transit_station,MRT Stasiun F 7,Jakarta,-6.20497,106.987191
POI-0046,transit_station,Halte Transjakarta H 6,Yogyakarta,-7.78508,110.303227
POI-0047,mall,Plaza Y 14,Jakarta,-6.064846,106.912799
POI-0048,mall,Mall X 15,Jakarta,-6.158434,106.904659
POI-0049,transit_station,KRL Stasiun G 18,Jakarta,-6.268405,106.850233
POI-0050,office_building,Tower B 15,Surabaya,-7.256276,112.72087
POI-0051,office_building,Menara A 18,Bandung,-6.925004,107.669224
POI-0052,residential_complex,Perumahan I 16,Jakarta,-6.138416,106.700014
POI-0053,transit_station,KRL Stasiun G 4,Yogyakarta,-7.792094,110.413453
POI-0054,competitor_noodle_asian,Hakata Ikkousha 13,Jakarta,-6.313761,106.793067
POI-0055,competitor_bakery_cake,Holland Bakery 12,Jakarta,-6.134465,106.94621
POI-0056,office_building,Menara A 8,Malang,-7.98722,112.601947
POI-0057,transit_station,Halte Transjakarta H 19,Semarang,-6.925258,110.407902
POI-0058,office_building,Tower B 16,Jakarta,-6.321999,106.755929
POI-0059,school_campus,Universitas E 5,Surabaya,-7.265753,112.858003
POI-0060,office_building,Menara A 5,Surabaya,-7.221966,112.751945
POI-0061,office_building,Corporate Park C 1,Jakarta,-6.330728,106.91334
POI-0062,competitor_bakery_cake,Union Bakery 20,Malang,-8.001813,112.615651
POI-0063,school_campus,Universitas E 15,Bandung,-6.984104,107.577158
POI-0064,mall,Trade Center Z 11,Jakarta,-6.200722,106.713121
POI-0065,residential_complex,Perumahan I 14,Semarang,-6.986595,110.479988
POI-0066,residential_complex,Apartemen J 15,Yogyakarta,-7.78793,110.345615
POI-0067,residential_complex,Apartemen J 6,Jakarta,-6.219046,106.817885
POI-0068,office_building,Menara A 19,Jakarta,-6.266895,106.832816
POI-0069,school_campus,Universitas E 16,Surabaya,-7.338191,112.717127
POI-0070,mall,Plaza Y 19,Bandung,-6.90528,107.652802
POI-0071,mall,Plaza Y 2,Malang,-7.927038,112.602503
POI-0072,mall,Trade Center Z 19,Jakarta,-6.238233,106.863599
POI-0073,competitor_noodle_asian,Mie Gacoan 12,Jakarta,-6.080186,106.762058
POI-0074,competitor_bakery_cake,BreadTalk 8,Malang,-7.952543,112.670926
POI-0075,competitor_noodle_asian,Bakmi GM 4,Surabaya,-7.301918,112.82304
POI-0076,office_building,Corporate Park C 14,Jakarta,-6.188587,106.83506
POI-0077,transit_station,KRL Stasiun G 19,Bandung,-6.832432,107.610119
POI-0078,mall,Trade Center Z 4,Jakarta,-6.247828,106.762651
POI-0079,mall,Plaza Y 17,Semarang,-7.01606,110.408585
POI-0080,mall,Plaza Y 14,Semarang,-6.935844,110.453682
POI-0081,competitor_noodle_asian,Hakata Ikkousha 10,Jakarta,-6.229738,106.973913
POI-0082,residential_complex,Perumahan I 20,Jakarta,-6.248209,106.765978
POI-0083,competitor_noodle_asian,Bakmi GM 9,Surabaya,-7.284708,112.770536
POI-0084,competitor_bakery_cake,Union Bakery 3,Jakarta,-6.186335,106.701353
POI-0085,office_building,Corporate Park C 18,Surabaya,-7.313493,112.772072
POI-0086,school_campus,Universitas E 18,Jakarta,-6.104424,106.844766
POI-0087,residential_complex,Perumahan I 19,Jakarta,-6.229974,106.839169
POI-0088,office_building,Tower B 18,Jakarta,-6.326662,106.904987
POI-0089,school_campus,Sekolah D 17,Semarang,-7.034569,110.483177
POI-0090,transit_station,Halte Transjakarta H 10,Jakarta,-6.098721,106.852305
