grid_id,city,district,centroid_lat,centroid_lon,cell_size_km,land_use_type,population_est,household_count_est,income_bracket,age_0_14_pct,age_15_34_pct,age_35_54_pct,age_55plus_pct
GRD-0001,Jakarta,Bogor,-6.290578,106.81691,0.5,mixed,1834,560,lower_middle,0.214,0.324,0.319,0.093
GRD-0002,Jakarta,Bogor,-6.263121,106.944092,0.5,residential,3880,951,middle,0.224,0.277,0.343,0.125
GRD-0003,Jakarta,Bekasi,-6.294038,106.753582,0.5,mixed,3341,809,lower_middle,0.184,0.344,0.34,0.108
GRD-0004,Jakarta,Jakarta Pusat,-6.299977,106.846674,0.5,residential,4344,1126,middle,0.218,0.291,0.294,0.125
GRD-0005,Jakarta,Bogor,-6.176016,106.765006,0.5,mixed,3366,938,upper_middle,0.21,0.376,0.308,0.097
GRD-0006,Jakarta,Jakarta Utara,-6.226213,106.79519,0.5,residential,2662,751,middle,0.239,0.324,0.341,0.116
GRD-0007,Jakarta,Jakarta Selatan,-6.10474,106.827887,0.5,residential,2335,622,middle,0.211,0.275,0.343,0.164
GRD-0008,Jakarta,Bogor,-6.312054,106.906668,0.5,residential,2322,548,upper_middle,0.262,0.324,0.303,0.125
GRD-0009,Jakarta,Bekasi,-6.259863,106.855437,0.5,office,316,74,high,0.123,0.421,0.394,0.06
GRD-0010,Jakarta,Jakarta Timur,-6.356901,106.896329,0.5,residential,5025,1440,upper_middle,0.259,0.298,0.308,0.158
GRD-0011,Jakarta,Jakarta Timur,-6.197339,106.92256,0.5,residential,2941,791,middle,0.269,0.302,0.346,0.117
GRD-0012,Jakarta,Jakarta Utara,-6.064877,106.915323,0.5,residential,4243,1126,upper_middle,0.269,0.277,0.344,0.121
GRD-0013,Jakarta,Bogor,-6.19544,106.81397,0.5,office,591,145,low,0.09,0.439,0.401,0.083
GRD-0014,Jakarta,Bekasi,-6.126027,106.813067,0.5,residential,4655,1053,middle,0.251,0.324,0.327,0.128
GRD-0015,Jakarta,Jakarta Utara,-6.208494,106.966345,0.5,residential,5018,1230,middle,0.241,0.318,0.348,0.154
GRD-0016,Jakarta,Tangerang,-6.080128,106.817703,0.5,residential,4876,1438,upper_middle,0.213,0.329,0.327,0.156
GRD-0017,Jakarta,Jakarta Timur,-6.280582,106.92869,0.5,mixed,3224,788,low,0.224,0.372,0.353,0.137
GRD-0018,Jakarta,Bogor,-6.280318,106.871046,0.5,commercial,548,144,low,0.202,0.354,0.319,0.135
GRD-0019,Jakarta,Bogor,-6.307806,106.888701,0.5,residential,4044,968,middle,0.26,0.287,0.337,0.139
GRD-0020,Jakarta,Jakarta Utara,-6.179542,106.77144,0.5,residential,3175,859,lower_middle,0.219,0.283,0.315,0.13
GRD-0021,Jakarta,Bekasi,-6.166591,106.94853,0.5,residential,4953,1544,lower_middle,0.231,0.315,0.341,0.167
GRD-0022,Jakarta,Bogor,-6.313758,106.843952,0.5,mixed,3199,988,middle,0.19,0.361,0.324,0.1
GRD-0023,Jakarta,Bogor,-6.129124,106.923142,0.5,residential,3413,1011,middle,0.238,0.273,0.313,0.123
GRD-0024,Jakarta,Bekasi,-6.301278,106.852175,0.5,residential,3526,904,low,0.27,0.291,0.329,0.157
GRD-0025,Jakarta,Jakarta Timur,-6.339669,106.849102,0.5,residential,1883,562,middle,0.267,0.298,0.305,0.132
GRD-0026,Jakarta,Jakarta Pusat,-6.237314,106.969288,0.5,mixed,2474,686,low,0.211,0.377,0.324,0.133
GRD-0027,Jakarta,Jakarta Timur,-6.250428,106.829208,0.5,residential,4964,1359,upper_middle,0.236,0.292,0.32,0.13
GRD-0028,Jakarta,Jakarta Pusat,-6.343097,106.911602,0.5,residential,3283,847,lower_middle,0.249,0.307,0.345,0.156
GRD-0029,Jakarta,Jakarta Utara,-6.307081,106.896548,0.5,residential,2805,737,lower_middle,0.247,0.293,0.292,0.161
GRD-0030,Jakarta,Jakarta Utara,-6.141599,106.862,0.5,residential,4241,1281,high,0.253,0.299,0.335,0.151
GRD-0031,Jakarta,Jakarta Selatan,-6.201288,106.714722,0.5,residential,2707,736,middle,0.243,0.291,0.35,0.143
GRD-0032,Jakarta,Jakarta Utara,-6.181238,106.752906,0.5,residential,2294,517,upper_middle,0.251,0.281,0.334,0.127
GRD-0033,Jakarta,Jakarta Utara,-6.333059,106.853628,0.5,office,519,161,lower_middle,0.102,0.436,0.408,0.073
GRD-0034,Jakarta,Depok,-6.112274,106.941147,0.5,residential,1850,508,middle,0.268,0.285,0.342,0.117
