outlet_id,brand,date,day_of_week,daypart,estimated_visits,estimated_transactions,avg_basket_size_idr,estimated_revenue_idr
MRG-001,Marugame Udon,2026-06-01,Monday,breakfast,41,28,52873,1480444
MRG-001,Marugame Udon,2026-06-01,Monday,lunch,241,176,59338,10443488
MRG-001,Marugame Udon,2026-06-01,Monday,afternoon,80,58,68667,3982686
MRG-001,Marugame Udon,2026-06-01,Monday,dinner,271,191,62896,12013136
MRG-001,Marugame Udon,2026-06-01,Monday,late_night,71,45,63019,2835855
MRG-001,Marugame Udon,2026-06-02,Tuesday,breakfast,34,26,63937,1662362
MRG-001,Marugame Udon,2026-06-02,Tuesday,lunch,208,162,73632,11928384
MRG-001,Marugame Udon,2026-06-02,Tuesday,afternoon,94,55,61990,3409450
MRG-001,Marugame Udon,2026-06-02,Tuesday,dinner,271,185,53072,9818320
MRG-001,Marugame Udon,2026-06-02,Tuesday,late_night,59,44,69081,3039564
MRG-001,Marugame Udon,2026-06-03,Wednesday,breakfast,32,21,59026,1239546
MRG-001,Marugame Udon,2026-06-03,Wednesday,lunch,275,214,64547,13813058
MRG-001,Marugame Udon,2026-06-03,Wednesday,afternoon,90,64,63913,4090432
MRG-001,Marugame Udon,2026-06-03,Wednesday,dinner,262,188,55664,10464832
MRG-001,Marugame Udon,2026-06-03,Wednesday,late_night,62,38,65025,2470950
MRG-001,Marugame Udon,2026-06-04,Thursday,breakfast,35,27,58423,1577421
MRG-001,Marugame Udon,2026-06-04,Thursday,lunch,205,149,55058,8203642
MRG-001,Marugame Udon,2026-06-04,Thursday,afternoon,74,58,64873,3762634
MRG-001,Marugame Udon,2026-06-04,Thursday,dinner,253,186,60493,11251698
MRG-001,Marugame Udon,2026-06-04,Thursday,late_night,63,53,61168,3241904
MRG-001,Marugame Udon,2026-06-05,Friday,breakfast,26,16,59018,944288
MRG-001,Marugame Udon,2026-06-05,Friday,lunch,186,140,71010,9941400
MRG-001,Marugame Udon,2026-06-05,Friday,afternoon,59,35,63892,2236220
MRG-001,Marugame Udon,2026-06-05,Friday,dinner,168,125,61395,7674375
MRG-001,Marugame Udon,2026-06-05,Friday,late_night,59,39,52737,2056743
MRG-001,Marugame Udon,2026-06-06,Saturday,breakfast,36,23,64580,1485340
MRG-001,Marugame Udon,2026-06-06,Saturday,lunch,320,185,62814,11620590
MRG-001,Marugame Udon,2026-06-06,Saturday,afternoon,117,71,62994,4472574
MRG-001,Marugame Udon,2026-06-06,Saturday,dinner,357,267,55886,14921562
MRG-001,Marugame Udon,2026-06-06,Saturday,late_night,83,69,56642,3908298
MRG-001,Marugame Udon,2026-06-07,Sunday,breakfast,56,32,70609,2259488
MRG-001,Marugame Udon,2026-06-07,Sunday,lunch,321,202,58700,11857400
MRG-001,Marugame Udon,2026-06-07,Sunday,afternoon,117,92,65747,6048724
MRG-001,Marugame Udon,2026-06-07,Sunday,dinner,395,302,64749,19554198
MRG-001,Marugame Udon,2026-06-07,Sunday,late_night,99,62,64495,3998690
MRG-001,Marugame Udon,2026-06-08,Monday,breakfast,33,21,53948,1132908
MRG-001,Marugame Udon,2026-06-08,Monday,lunch,294,206,58756,12103736
