Nama Outlet,Kota/Wilayah,Alamat,Latitude,Longitude,Rating,Jumlah Ulasan,Telepon,Jam Operasional,Website,Google Maps URL
The Harvest Cakes - Thamrin,Jabodetabek,"Jl. K.H. Wahid Hasyim No.125, Kb. Kacang, Tanah Abang, Jakarta Pusat 10240",-6.1871779,106.8218720,4.3,366,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=16277785199860167219
The Harvest Cakes - Mangga Besar,Jabodetabek,"Jl. Raya Mangga Besar No.107 A, Tangki, Taman Sari, Jakarta Barat 11150",-6.1482221,106.8295448,4.5,709,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=4646415728500701501
The Harvest Cakes - Salemba,Jabodetabek,"Jl. Kramat Raya No.91, Paseban, Senen, Jakarta Pusat 10440",-6.1901064,106.8475648,4.4,427,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=412973699853402304
The Harvest Cakes - Kebon Jeruk,Jabodetabek,"Jl. Panjang No.19, Kb. Jeruk, Jakarta Barat 11530",-6.1999489,106.7694018,4.5,511,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=12759861900495930999
The Harvest Cakes - Senopati,Jabodetabek,"Jl. Senopati No.47, Selong, Kby. Baru, Jakarta Selatan 12510",-6.2313781,106.8099844,4.2,697,+62 21 1500581,07:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=13458005966424739614
The Harvest Cakes - Radio Dalam,Jabodetabek,"Jl. Radio Dalam Raya No.4C-D, Gandaria Utara, Kby. Baru, Jakarta Selatan 12140",-6.2508682,106.7914162,4.3,317,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=18037300682413260546
The Harvest Cakes - Kelapa Gading,Jabodetabek,"Jl. Boulevard Raya Blok TA 2 No.4, Klp. Gading Tim., Jakarta Utara 14240",-6.1724847,106.8975346,4.2,644,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=15590759289307989028
The Harvest Cakes - Bendungan Hilir,Jabodetabek,"Jl. Bendungan Hilir No.1A, Bend. Hilir, Tanah Abang, Jakarta Pusat 10210",-6.2147080,106.8147157,4.2,358,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=2548021174803543474
The Harvest Cakes - Bekasi,Jabodetabek,"Jl. Rukan Emerald Commercial Blok UA No.20, Summarecon, Marga Mulya, Bekasi Utara, Kota Bekasi 17143",-6.2274402,107.0039993,4.5,495,+62 1 500 581,08:00-22:00 (setiap hari),http://www.harvestcakes.com/,https://maps.google.com/?cid=10189027838891644304
The Harvest Cakes - Pajajaran Bogor,Jabodetabek,"Jl. Raya Pajajaran No.234A, Bantarjati, Bogor Utara, Kota Bogor 16153",-6.5781793,106.8074234,4.4,950,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=3582908876011324074
The Harvest Cakes - Grand Wisata,Jabodetabek,"Ruko Fashion Walk, Jl. Celebration Boulevard, Lambangjaya, Tambun Sel., Kab. Bekasi 17510",-6.2815184,107.0464786,4.4,327,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=8375656974353451284
The Harvest - Cibubur,Jabodetabek,"Jl. Transyogi No.Km.06, Nagrak, Gn. Putri, Kab. Bogor 16968",-6.3882233,106.9429229,4.3,887,+62 1 500 581,07:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=10789296243360083417
The Harvest Cakes - Depok,Jabodetabek,"Jl. Margonda No.295, Kemiri Muka, Beji, Kota Depok 16423",-6.3777795,106.8312243,4.4,1223,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=9046292607842283407
The Harvest Cakes - Tajur,Jabodetabek,"Jl. Raya Tajur No.47, Tajur, Bogor Tim., Kota Bogor 16134",-6.6255419,106.8213064,4.5,355,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=9586186599091703498
The Harvest Cakes - Sawangan,Jabodetabek,"Jl. Raya Parung - Ciputat, Bojongsari Lama, Bojongsari, Kota Depok 16516",-6.4004536,106.7421740,4.4,221,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=6501535701990739120
The Harvest Cakes - Jatiwaringin,Jabodetabek,"Jl. Raya Jatiwaringin No.31, Jatiwaringin, Pd. Gede, Kota Bekasi 17411",-6.2714677,106.9119073,4.5,575,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=16634661447143684426
The Harvest Dago,Bandung,"Jl. Ir. H. Juanda No.15, Tamansari, Kec. Bandung Wetan, Kota Bandung 40116",-6.9053289,107.6102687,4.5,1627,+62 21 1500581,08:00-22:00 (setiap hari),http://www.harvestcakes.com/,https://maps.google.com/?cid=12664696170847559046
The Harvest Cakes - Buah Batu,Bandung,"Jl. Buah Batu Raya No.262, Cijagra, Kec. Lengkong, Kota Bandung 40265",-6.9450102,107.6300887,4.5,986,+62 21 1500581,08:00-22:00 (setiap hari),http://www.harvestcakes.com/,https://maps.google.com/?cid=10027673296339400121
The Harvest Cakes - Setiabudi Bandung,Bandung,"Jl. Dr. Setiabudi No.197, Gegerkalong, Kec. Sukasari, Kota Bandung 40153",-6.8659269,107.5938968,4.7,139,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=7029171897748634322
The Harvest Cakes - Burangrang,Bandung,"Jl. Burangrang No.31 C, Malabar, Kec. Lengkong, Kota Bandung 40262",-6.9259490,107.6198315,4.7,498,,08:00-22:00 (setiap hari),http://www.harvestcakes.com/,https://maps.google.com/?cid=15969170563475856884
The Harvest Cakes - Bengawan,Surabaya,"Jl. Bengawan No.39, Darmo, Kec. Wonokromo, Surabaya 60241",-7.2901214,112.7377761,4.5,2584,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=931044436846051915
The Harvest Cakes - Dharmahusada,Surabaya,"Jl. Wisma Permai Barat Raya Blok QQ No.3, Mulyorejo, Surabaya 60115",-7.2722908,112.7821872,4.6,281,+62 31 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=15289926701319282010
The Harvest Cakes - Graha Famili,Surabaya,"Komplek Ruko Plaza Graha Famili Blok B.07, Pradahkalikendal, Kec. Dukuhpakis, Surabaya 60227",-7.2920622,112.6764679,4.3,332,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=13263977921647557389
The Harvest Cakes - Medan S. Parman,Medan,"Jl. S. Parman No.40/308, Petisah Hulu, Kec. Medan Baru, Kota Medan 20153",3.5781514,98.6669083,4.1,69,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=7029145421076414359
The Harvest Cakes - Medan Amir Hamzah,Medan,"Jl. T. Amir Hamzah No.B-6, Helvetia Tim., Kec. Medan Helvetia, Kota Medan 20124",3.6072047,98.6466271,4.4,236,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=17573805226675412607
The Harvest Semarang,Semarang,"Jl. Letnan Jenderal S. Parman No.1, Bendungan, Kec. Gajahmungkur, Kota Semarang 50232",-6.9961751,110.4077057,4.5,1288,+62 812-2509-2571,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=4957685079538163561
The Harvest Cakes - Semarang Majapahit,Semarang,"Jl. Brigjen Sudiarto No.269-267, Gemah, Kec. Pedurungan, Kota Semarang 50246",-7.0064535,110.4558510,4.3,230,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=15545257611866672334
The Harvest Cakes - Yogyakarta,Yogyakarta,"Jl. C. Simanjuntak No.5, Terban, Kec. Gondokusuman, Kota Yogyakarta 55223",-7.7827950,110.3721849,4.3,797,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=17880310251727836255
The Harvest Cakes - Malang Soekarno Hatta,Malang,"3, Jl. Soekarno Hatta No.1e, Mojolangu, Kec. Lowokwaru, Kota Malang 65142",-7.9393431,112.6252518,4.6,1287,+62 21 1500581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=9431400314858361959
The Harvest Cakes - Malang JA Suprapto,Malang,"Jl. Jaksa Agung Suprapto No.46C, Rampal Celaket, Kec. Klojen, Kota Malang 65112",-7.9663944,112.6341350,4.2,184,+62 1 500 581,08:00-22:00 (setiap hari),https://harvestcakes.com/,https://maps.google.com/?cid=1635343067105918349
