Nama Outlet,Kota/Wilayah,Alamat,Latitude,Longitude,Rating,Jumlah Ulasan,Telepon,Jam Operasional,Website,Google Maps URL
"Marugame Udon Lippo Mall Nusantara","Jabodetabek","Kawasan Bisnis Granadha, Jl. Jend. Sudirman Kav. 50 Lt 3, Jakarta Selatan 12930",-6.2194624,106.8146084,4.9,311,"+62 811-8127-7780","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=13402013324912370729"
"Marugame Udon Mall Ciputra Grogol","Jabodetabek","Mall Ciputra, Jl. Letjen S. Parman Lt LG Unit 53, Jakarta Barat 11470",-6.1683965,106.7864982,4.7,45,"+62 811-8127-7694","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=13288699982006545876"
"Marugame Udon WTC Sudirman","Jabodetabek","WTC Sudirman 5, Jl. Jenderal Sudirman Kav. 29-31 LG, Jakarta Selatan 12920",-6.2152035,106.8204371,4.9,85,"+62 811-1069-3836","10:00-20:00 (Sen-Jum); Tutup (Sab-Min)","https://marugameudon.co.id/","https://maps.google.com/?cid=6740317157102196364"
"Marugame Udon Grand Indonesia","Jabodetabek","Grand Indonesia Mall, West Mall Jl. MH. Thamrin No.1 Lt 3A, Jakarta Pusat 10310",-6.1951619,106.8201593,4.6,1506,"+62 811-3248-819","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=11821333245031440233"
"Marugame Udon Danau Sunter Utara","Jabodetabek","Jl. Danau Sunter Utara No.13, Jakarta Utara 14260",-6.1405963,106.8572463,4.6,2409,"+62 811-3334-7611","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=3001995191423268782"
"Marugame Udon Mall Kelapa Gading 3","Jabodetabek","MKG 3, Jl. Boulevard Raya Lt 3, Jakarta Utara 14240",-6.1573418,106.9087133,4.6,254,"+62 811-3453-345","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=16459314692073051242"
"Marugame Udon Living World Kota Wisata Cibubur","Jabodetabek","Living World Kota Wisata, Ciangsana, Gn. Putri, Kab. Bogor 16968",-6.369685,106.9596988,4.3,187,"+62 811-3059-9162","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=5861157030034055164"
"Marugame Udon Mall Of Indonesia","Jabodetabek","Mall Of Indonesia, 2nd floor Unit JT 03&04, Jakarta Utara 14240",-6.1509416,106.8917794,4.6,196,"+62 811-3204-5259","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=8479043184681511644"
"Marugame Udon Green Pramuka","Jabodetabek","Green Pramuka Square, Jl. Rw. Jaya No.49 Lt GF, Jakarta Pusat 10570",-6.1896767,106.8742483,4.5,895,"+62 811-3469-435","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=14244055392921061450"
"Marugame Udon AEON Mall Jakarta Garden City","Jabodetabek","AEON Mall JGC, Jl. Jkt Garden City Boulevard No.19 Lt GF, Jakarta Timur 13910",-6.172617,106.9529259,4.8,825,"+62 811-3334-7422","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=1577728599939597119"
"Marugame Udon Margonda Raya","Jabodetabek","Jl. Margonda Raya No.1, Depok 16423",-6.3727952,106.8331649,4.6,2811,"+62 811-3204-5245","10:00-22:00 (setiap hari)","https://locations.marugameudon.co.id/marugame-udon-margonda-raya","https://maps.google.com/?cid=7217654805773218088"
"Marugame Udon Tangerang City Mall","Jabodetabek","Tangcity Mall, Jl. Jenderal Sudirman No.01, Tangerang 15118",-6.1945875,106.6343438,3.9,181,"+62 811-3204-5246","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=5700003333052351002"
"Marugame Udon Summarecon Mall Serpong","Jabodetabek","SMS Lt.2 Unit 2F-239, Kelapa Dua, Kab. Tangerang 15810",-6.2413492,106.6280082,4.5,2359,"+62 811-3248-767","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=10621895457811381870"
"Marugame Udon Bogor Trade Mall","Jabodetabek","BTM, Jl. Ir. H. Juanda No.68 Lt UG, Kota Bogor 16122",-6.6050383,106.7955848,4.4,110,"+62 811-1069-3834","09:00-21:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=17622016643528644496"
"Marugame Udon Supermall Karawaci","Jabodetabek","Supermall Karawaci Lt UG, Jl. Boulevard Diponegoro No.105, Tangerang 15811",-6.2268282,106.607193,4.5,920,"+62 811-3248-850","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=12276864581821005329"
"Marugame Udon Botani Square","Jabodetabek","Botani Square, Jl. Cikahuripan Lt 2, Kota Bogor 16127",-6.6012848,106.8073393,4.5,620,"+62 811-3483-515","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=3368772153071396758"
"Marugame Udon Living World Alam Sutera","Jabodetabek","Living World Alam Sutera, Jl. Alam Sutera Boulevard Kav.21 Lt GF, Tangerang 15325",-6.2443655,106.6536326,4.3,305,"+62 811-3469-425","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=11659293436078172248"
"Marugame Udon Soekarno-Hatta T3","Jabodetabek","Bandara Soekarno-Hatta, Terminal 3, Tangerang 15126",-6.1185669,106.665775,4.5,1332,"+62 811-3466-908","05:00-23:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=10754378949815265391"
"Marugame Udon Trans Studio Cibubur","Jabodetabek","Trans Studio Cibubur, Jl. Alternatif Cibubur No.230A Lt 3, Depok 16454",-6.3753519,106.9017382,4.5,203,"+62 811-3112-3495","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=5579317292925148458"
"Marugame Udon Cibinong City Mall","Jabodetabek","CCM, Jl. Tegar Beriman No.1 Lt 1, Kab. Bogor 16912",-6.4842788,106.8426341,4.5,409,"+62 811-3596-026","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=14881166254465183665"
"Marugame Udon Riau Bandung","Bandung","Jl. L.L. R.E. Martadinata No.112, Bandung 40113",-6.9099827,107.6256284,4.6,6811,"+62 811-3483-516","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=17388425741417520892"
"Marugame Udon Summarecon Mall Bandung","Bandung","SM Bandung, Unit Downtown Walk DGF 820, Bandung 40295",-6.9554052,107.6970883,4.7,1221,"+62 811-3059-9158","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=13129276451563459158"
"Marugame Udon Tenth Avenue Mall","Bandung","Tenth Avenue Mall, Jl. Soekarno-Hatta No.526 Lt GF-08, Bandung 40286",-6.9468236,107.640954,4.8,110,"+62 811-8127-7736","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=9057137889095114595"
"Marugame Udon Paskal Hyper Square","Bandung","Paskal Hyper Square, Jl. Pasir Kaliki, Bandung 40181",-6.9150499,107.5958171,4.5,845,"+62 811-3453-326","10:00-22:00 (Jum tutup 20:00)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=7745037779310528991"
"Marugame Udon Trans Studio Bandung","Bandung","Trans Studio Mall Lt 2, Jl. Gatot Subroto No.289, Bandung 40273",-6.9248958,107.636887,4.6,695,"+62 811-3248-832","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=13732942596005201415"
"Marugame Udon Paris Van Java","Bandung","Paris Van Java Lt GF, Jl. Sukajadi No.131-139, Bandung 40162",-6.8903644,107.5965799,4.5,417,"+62 811-3596-178","10:00-21:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=13381021483354059137"
"Marugame Udon Darmo Surabaya","Surabaya","Jl. Raya Darmo No.103, Surabaya 60625",-7.2900595,112.739221,4.7,862,"+62 811-3059-9143","10:00-22:00 (Min 08:00-22:00)","https://marugameudon.co.id/","https://maps.google.com/?cid=5308162643804099490"
"Marugame Udon MERR Surabaya","Surabaya","Unit MERR 2, Jl. Dr. Ir. H. Soekarno GF-A, Surabaya 60119",-7.2987185,112.7816787,4.4,360,"+62 811-8127-7751","10:00-22:00 (setiap hari)","https://locations.marugameudon.co.id/marugame-udon-merr-surabaya","https://maps.google.com/?cid=5581740372593338082"
"Marugame Udon Pakuwon City Mall","Surabaya","Kejawaan Putih Tamba, Mulyorejo, Surabaya 60112",-7.275638,112.8052552,5.0,12,,"10:00-22:00 (setiap hari)","https://www.instagram.com/marugameudon","https://maps.google.com/?cid=2425927198269349563"
"Marugame Udon Tunjungan Plaza","Surabaya","Tunjungan Plaza 3, Jl. Basuki Rahmat No.8-12 Lt 5, Surabaya 60261",-7.2633495,112.739508,4.6,1870,"+62 811-3248-771","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=14369043943840038439"
"Marugame Udon BG Junction Mall","Surabaya","BG Junction Mall, Jl. Bubutan No.1-7 Lobby, Surabaya 60174",-7.2547722,112.7330883,4.5,107,"+62 811-1069-3824","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=10330781206831867557"
