outlet_id,estimated_captured_demand_p10,estimated_captured_demand_p50,estimated_captured_demand_p90,coefficient_of_variation,confidence_label
MRG-011,386.8,718.0,1187.4,0.444,low
HVT-011,22439.1,36587.3,60895.1,0.409,low
MRG-028,747.0,1088.1,1873.8,0.37,low
MRG-021,1265.7,1891.6,3139.4,0.367,low
MRG-014,634.0,997.3,1363.4,0.362,low
MRG-035,3194.0,4359.3,6860.1,0.337,low
MRG-020,1523.2,2249.1,3017.1,0.321,low
MRG-012,3145.4,4438.0,5904.2,0.303,low
MRG-017,3529.7,4952.5,6563.0,0.296,low
HVT-014,393.0,570.9,862.6,0.295,low
MRG-007,5651.1,7840.7,10236.1,0.271,low
HVT-010,885.4,1257.5,1832.5,0.271,low
MRG-031,7765.4,10184.4,12773.4,0.245,medium
MRG-039,3211.8,4138.4,5660.4,0.243,medium
MRG-002,13195.5,18361.7,22890.5,0.234,medium
MRG-029,5198.6,7027.4,8599.6,0.227,medium
MRG-003,12591.5,17378.4,21282.5,0.222,medium
MRG-006,13193.7,18191.6,22194.5,0.222,medium
MRG-019,9561.1,13427.6,16287.5,0.218,medium
MRG-008,7912.8,10958.1,13214.5,0.213,medium
MRG-001,6589.5,9132.2,10997.1,0.211,medium
MRG-034,8605.1,11046.1,13304.3,0.197,medium
MRG-023,10124.0,13758.9,16437.6,0.191,medium
HVT-022,27901.9,37862.5,46328.0,0.182,medium
MRG-016,9186.4,10828.4,13954.5,0.181,medium
MRG-038,14732.0,18709.0,22028.4,0.18,medium
MRG-036,27994.9,35142.5,41017.5,0.171,medium
HVT-021,28788.4,36696.9,43878.0,0.161,medium
MRG-026,3726.2,4753.6,5974.6,0.16,medium
HVT-023,67902.2,83464.6,101452.4,0.154,medium
MRG-005,7308.5,8590.9,10229.1,0.141,medium
MRG-015,19309.8,21719.1,26450.0,0.138,medium
MRG-027,5234.9,6165.3,7621.3,0.133,medium
MRG-013,31052.4,35042.4,41861.1,0.131,medium
HVT-012,11609.9,13611.3,15350.0,0.118,high
MRG-018,38275.1,43090.7,49911.1,0.116,high
HVT-015,5461.4,6328.6,7107.6,0.113,high
MRG-037,85487.1,94209.2,106013.9,0.099,high
MRG-004,33939.1,37101.3,40958.0,0.093,high
MRG-009,49190.7,53403.0,58625.2,0.088,high
HVT-009,15216.6,17492.1,18852.9,0.084,high
MRG-010,38022.8,40976.4,45058.4,0.082,high
HVT-001,30197.3,33734.0,36505.7,0.08,high
MRG-030,34665.8,36639.4,39701.7,0.064,high
HVT-003,24147.1,26237.7,27931.7,0.061,high
HVT-013,15255.3,16704.2,17492.3,0.056,high
MRG-032,43871.7,45965.8,48791.5,0.054,high
HVT-005,24422.5,26140.7,27535.8,0.051,high
HVT-016,23431.1,25425.0,26655.9,0.048,high
MRG-033,37596.3,39012.1,40989.1,0.043,high
HVT-006,29680.8,31527.1,32638.6,0.042,high
HVT-008,16064.3,16935.8,17556.2,0.039,high
HVT-007,21132.8,22670.3,23580.8,0.039,high
MRG-022,32426.4,33647.0,35687.5,0.038,high
HVT-002,47123.9,50315.1,52036.3,0.038,high
HVT-018,31096.6,32371.4,33601.4,0.029,high
MRG-025,31176.0,31931.1,33192.2,0.027,high
MRG-024,46923.3,48396.1,49955.3,0.026,high
HVT-004,33521.1,34929.0,35636.7,0.025,high
HVT-017,44994.7,46122.5,47291.8,0.019,high
MRG-041,32127.8,32681.7,33042.5,0.011,high
MRG-040,41723.4,42127.6,42354.4,0.007,high
MRG-042,61002.6,61716.9,61996.4,0.007,high
HVT-020,23293.4,23502.6,23691.4,0.006,high
HVT-025,53856.1,54203.6,54587.8,0.005,high
MRG-043,43545.1,43700.1,43867.9,0.003,high
HVT-024,97857.7,98241.9,98589.4,0.003,high
HVT-019,32364.5,32447.7,32554.7,0.002,high
MRG-044,101641.9,101809.7,101964.7,0.001,high
HVT-027,44577.8,44603.0,44636.3,0.0,high
HVT-028,100873.5,100906.8,100932.0,0.0,high
HVT-026,140580.0,140580.0,140580.0,0.0,high
