outlet_id,brand,city,outlet_name,location_type,estimated_captured_demand,market_share_pct
MRG-015,Marugame Udon,Surabaya,Marugame Udon Bintaro Xchange,mall,124263.73991597032,35.6
MRG-001,Marugame Udon,Bandung,Marugame Udon Central Park,mall,87464.56074269248,24.2
MRG-003,Marugame Udon,Bandung,Marugame Udon Kota Kasablanka,mall,78831.40556260584,21.8
MRG-016,Marugame Udon,Surabaya,Marugame Udon Gandaria City,mall,77416.12625517797,22.2
MRG-008,Marugame Udon,Jakarta,Marugame Udon Trans Studio Mall,mall,64841.37481694122,17.8
MRG-010,Marugame Udon,Jakarta,Marugame Udon Pakuwon Mall,mall,61578.86112639682,16.9
MRG-011,Marugame Udon,Bandung,Marugame Udon Tunjungan Plaza,mall,61112.48329450881,16.9
MRG-018,Marugame Udon,Surabaya,Marugame Udon Lippo Mall Puri,mall,55686.26127044324,16.0
MRG-009,Marugame Udon,Bandung,Marugame Udon Ciputra World,mall,52575.99749342798,14.5
MRG-007,Marugame Udon,Jakarta,Marugame Udon Living World,mall,51850.21484912325,14.2
MRG-012,Marugame Udon,Jakarta,Marugame Udon Paris Van Java,mall,51820.96527354214,14.2
MRG-002,Marugame Udon,Bandung,Marugame Udon Grand Indonesia,mall,49636.79697666747,13.7
MRG-017,Marugame Udon,Jakarta,Marugame Udon PIK Avenue,mall,49007.97648202808,13.4
MRG-014,Marugame Udon,Surabaya,Marugame Udon AEON Mall,mall,47756.660503627514,13.7
MRG-005,Marugame Udon,Surabaya,Marugame Udon Pondok Indah Mall,mall,43460.412054780965,12.5
MRG-004,Marugame Udon,Jakarta,Marugame Udon Senayan City,mall,43292.81009631542,11.9
MRG-013,Marugame Udon,Jakarta,Marugame Udon Cihampelas Walk,mall,42831.89735565306,11.7
MRG-006,Marugame Udon,Bandung,Marugame Udon Summarecon Mall,mall,31952.855930097445,8.8
HVT-038,The Harvest,Bandung,The Harvest Boutique 20,standalone_ruko,133684.13208707343,37.0
HVT-034,The Harvest,Surabaya,The Harvest Boutique 16,standalone_ruko,91245.6448745681,26.2
HVT-040,The Harvest,Bandung,The Harvest Boutique 22,standalone_ruko,81398.82601705712,22.5
HVT-032,The Harvest,Surabaya,The Harvest Counter 14,mall,79028.54706790259,22.7
HVT-025,The Harvest,Surabaya,The Harvest Boutique 07,standalone_ruko,69503.16002104351,19.9
HVT-022,The Harvest,Bandung,The Harvest Counter 04,mall,67685.66225158337,18.7
HVT-028,The Harvest,Surabaya,The Harvest Boutique 10,standalone_ruko,62178.214358194724,17.8
HVT-019,The Harvest,Bandung,The Harvest Boutique 01,standalone_ruko,56094.055558749176,15.5
HVT-024,The Harvest,Jakarta,The Harvest Boutique 06,standalone_ruko,54826.27976203854,15.0
HVT-041,The Harvest,Surabaya,The Harvest Counter 23,mall,46627.63367829111,13.4
HVT-029,The Harvest,Jakarta,The Harvest Boutique 11,standalone_ruko,38689.00600145388,10.6
HVT-031,The Harvest,Jakarta,The Harvest Boutique 13,standalone_ruko,37940.06373476356,10.4
HVT-042,The Harvest,Jakarta,The Harvest Boutique 24,standalone_ruko,36422.18065836406,10.0
HVT-027,The Harvest,Jakarta,The Harvest Boutique 09,standalone_ruko,28494.520811969276,7.8
HVT-039,The Harvest,Jakarta,The Harvest Boutique 21,standalone_ruko,25767.995821362063,7.1
HVT-020,The Harvest,Jakarta,The Harvest Boutique 02,standalone_ruko,25015.56832092274,6.8
HVT-023,The Harvest,Jakarta,The Harvest Boutique 05,standalone_ruko,23280.965977734348,6.4
HVT-035,The Harvest,Bandung,The Harvest Counter 17,mall,22711.424085536877,6.3
HVT-037,The Harvest,Jakarta,The Harvest Counter 19,mall,20874.97621357737,5.7
HVT-033,The Harvest,Jakarta,The Harvest Counter 15,mall,19177.80312628557,5.3
HVT-026,The Harvest,Jakarta,The Harvest Counter 08,mall,18734.72719140106,5.1
HVT-036,The Harvest,Jakarta,The Harvest Counter 18,mall,17360.342551588114,4.8
HVT-030,The Harvest,Jakarta,The Harvest Boutique 12,standalone_ruko,11619.406646834283,3.2
HVT-021,The Harvest,Jakarta,The Harvest Counter 03,mall,7020.263181705198,1.9
