outlet_id,brand,outlet_name,city,district,location_type,outlet_type,latitude,longitude,rating,review_count,gross_floor_area_sqm,seating_capacity,store_tier,open_date
MRG-001,Marugame Udon,Marugame Udon Lippo Mall Nusantara,Jakarta,Jakarta Selatan,mall,transit_adjacent,-6.2194624,106.8146084,4.9,311,126,75.0,standard,2020-09-30
MRG-002,Marugame Udon,Marugame Udon Mall Ciputra Grogol,Jakarta,Jakarta Barat,mall,transit_adjacent,-6.1683965,106.7864982,4.7,45,308,53.0,standard,2025-08-03
MRG-003,Marugame Udon,Marugame Udon WTC Sudirman,Jakarta,Jakarta Selatan,mall,transit_adjacent,-6.2152035,106.8204371,4.9,85,259,51.0,standard,2024-08-15
MRG-004,Marugame Udon,Marugame Udon Grand Indonesia,Jakarta,Jakarta Pusat,mall,destination_hub,-6.1951619,106.8201593,4.6,1506,127,51.0,flagship,2020-06-14
MRG-005,Marugame Udon,Marugame Udon Danau Sunter Utara,Jakarta,Jakarta Utara,standalone_ruko,neighborhood,-6.1405963,106.8572463,4.6,2409,274,43.0,standard,2024-04-17
MRG-006,Marugame Udon,Marugame Udon Mall Kelapa Gading 3,Jakarta,Jakarta Utara,mall,transit_adjacent,-6.1573418,106.9087133,4.6,254,286,109.0,standard,2022-09-15
MRG-007,Marugame Udon,Marugame Udon Living World Kota Wisata Cibubur,Jakarta,Gn. Putri,mall,transit_adjacent,-6.369685,106.9596988,4.3,187,270,75.0,standard,2018-01-27
MRG-008,Marugame Udon,Marugame Udon Mall Of Indonesia,Jakarta,Jakarta Utara,mall,transit_adjacent,-6.1509416,106.8917794,4.6,196,160,94.0,standard,2021-10-25
MRG-009,Marugame Udon,Marugame Udon Green Pramuka,Jakarta,Jakarta Pusat,mall,destination_hub,-6.1896767,106.8742483,4.5,895,175,83.0,flagship,2019-02-23
MRG-010,Marugame Udon,Marugame Udon AEON Mall Jakarta Garden City,Jakarta,Jakarta Timur,mall,destination_hub,-6.172617,106.9529259,4.8,825,144,85.0,flagship,2021-11-09
MRG-011,Marugame Udon,Marugame Udon Margonda Raya,Jakarta,Depok,standalone_ruko,neighborhood,-6.3727952,106.8331649,4.6,2811,131,98.0,standard,2024-01-06
MRG-012,Marugame Udon,Marugame Udon Tangerang City Mall,Jakarta,Tangerang,mall,transit_adjacent,-6.1945875,106.6343438,3.9,181,216,50.0,standard,2024-03-11
MRG-013,Marugame Udon,Marugame Udon Summarecon Mall Serpong,Jakarta,Kelapa Dua,mall,destination_hub,-6.2413492,106.6280082,4.5,2359,280,86.0,flagship,2024-06-22
