grid_id,city,brand,centroid_lat,centroid_lon,demand_potential,whitespace_score
GRD-0199,Bandung,Marugame Udon,-6.904755,107.688041,6717.6,0.991
GRD-0269,Bandung,Marugame Udon,-6.837761,107.595776,6572.8,0.937
GRD-0027,Jakarta,Marugame Udon,-6.206651,106.803959,9219.6,0.921
GRD-0215,Bandung,Marugame Udon,-6.908702,107.63562,6719.7,0.911
GRD-0236,Bandung,Marugame Udon,-6.990825,107.639121,6102.0,0.89
GRD-0357,Surabaya,Marugame Udon,-7.246081,112.717123,8454.6,0.845
GRD-0298,Surabaya,Marugame Udon,-7.242186,112.648063,7468.2,0.828
GRD-0263,Bandung,Marugame Udon,-6.869588,107.674037,5759.0,0.822
GRD-0335,Surabaya,Marugame Udon,-7.316321,112.744908,6493.5,0.762
GRD-0306,Surabaya,Marugame Udon,-7.291106,112.826313,6274.8,0.738
GRD-0038,Jakarta,Marugame Udon,-6.159086,106.702345,7308.0,0.735
GRD-0402,Surabaya,Marugame Udon,-7.202237,112.825539,6214.0,0.73
GRD-0092,Jakarta,Marugame Udon,-6.242971,106.827035,6605.3,0.675
GRD-0019,Jakarta,Marugame Udon,-6.145784,106.968103,6453.2,0.641
GRD-0127,Jakarta,Marugame Udon,-6.160154,106.69958,5974.8,0.599
GRD-0199,Bandung,The Harvest,-6.904755,107.688041,6717.6,0.998
GRD-0357,Surabaya,The Harvest,-7.246081,112.717123,8454.6,0.993
GRD-0215,Bandung,The Harvest,-6.908702,107.63562,6719.7,0.984
GRD-0269,Bandung,The Harvest,-6.837761,107.595776,6572.8,0.973
GRD-0236,Bandung,The Harvest,-6.990825,107.639121,6102.0,0.901
GRD-0298,Surabaya,The Harvest,-7.242186,112.648063,7468.2,0.877
GRD-0263,Bandung,The Harvest,-6.869588,107.674037,5759.0,0.852
GRD-0306,Surabaya,The Harvest,-7.291106,112.826313,6274.8,0.738
GRD-0335,Surabaya,The Harvest,-7.316321,112.744908,6493.5,0.723
GRD-0402,Surabaya,The Harvest,-7.202237,112.825539,6214.0,0.718
GRD-0038,Jakarta,The Harvest,-6.159086,106.702345,7308.0,0.709
GRD-0027,Jakarta,The Harvest,-6.206651,106.803959,9219.6,0.709
GRD-0092,Jakarta,The Harvest,-6.242971,106.827035,6605.3,0.65
GRD-0022,Jakarta,The Harvest,-6.141599,106.862,7633.8,0.647
GRD-0019,Jakarta,The Harvest,-6.145784,106.968103,6453.2,0.608
